waveform	[0]		[1]	
t0	2013-04-17  14:54:49,		2013-04-17  14:54:49,	
delta t	1,000000E-8		1,000000E-8	

time[0]	Y[0]	time[1]	Y[1]
2013-04-17  14:54:49,	-1,030616E+0	2013-04-17  14:54:49,	-2,547967E+0
2013-04-17  14:54:49,	-1,329636E+0	2013-04-17  14:54:49,	-2,977404E+0
2013-04-17  14:54:49,	-1,585938E+0	2013-04-17  14:54:49,	-3,235067E+0
2013-04-17  14:54:49,	-1,799524E+0	2013-04-17  14:54:49,	-3,235067E+0
2013-04-17  14:54:49,	-2,013109E+0	2013-04-17  14:54:49,	-3,063292E+0
2013-04-17  14:54:49,	-2,141261E+0	2013-04-17  14:54:49,	-2,805630E+0
2013-04-17  14:54:49,	-2,269412E+0	2013-04-17  14:54:49,	-2,590911E+0
2013-04-17  14:54:49,	-2,312129E+0	2013-04-17  14:54:49,	-2,419136E+0
2013-04-17  14:54:49,	-2,312129E+0	2013-04-17  14:54:49,	-2,376193E+0
2013-04-17  14:54:49,	-2,312129E+0	2013-04-17  14:54:49,	-2,419136E+0
2013-04-17  14:54:49,	-2,269412E+0	2013-04-17  14:54:49,	-2,547967E+0
2013-04-17  14:54:49,	-2,226695E+0	2013-04-17  14:54:49,	-2,762686E+0
2013-04-17  14:54:49,	-2,226695E+0	2013-04-17  14:54:49,	-2,934461E+0
2013-04-17  14:54:49,	-2,226695E+0	2013-04-17  14:54:49,	-3,106235E+0
2013-04-17  14:54:49,	-2,226695E+0	2013-04-17  14:54:49,	-3,192123E+0
2013-04-17  14:54:49,	-2,269412E+0	2013-04-17  14:54:49,	-3,235067E+0
2013-04-17  14:54:49,	-2,269412E+0	2013-04-17  14:54:49,	-3,149179E+0
2013-04-17  14:54:49,	-2,354846E+0	2013-04-17  14:54:49,	-3,063292E+0
2013-04-17  14:54:49,	-2,354846E+0	2013-04-17  14:54:49,	-2,934461E+0
2013-04-17  14:54:49,	-2,397563E+0	2013-04-17  14:54:49,	-2,805630E+0
2013-04-17  14:54:49,	-2,397563E+0	2013-04-17  14:54:49,	-2,762686E+0
2013-04-17  14:54:49,	-2,354846E+0	2013-04-17  14:54:49,	-2,762686E+0
2013-04-17  14:54:49,	-2,354846E+0	2013-04-17  14:54:49,	-2,762686E+0
2013-04-17  14:54:49,	-2,354846E+0	2013-04-17  14:54:49,	-2,848573E+0
2013-04-17  14:54:49,	-2,312129E+0	2013-04-17  14:54:49,	-2,891517E+0
2013-04-17  14:54:49,	-2,312129E+0	2013-04-17  14:54:49,	-2,934461E+0
2013-04-17  14:54:49,	-2,269412E+0	2013-04-17  14:54:49,	-3,020348E+0
2013-04-17  14:54:49,	-2,312129E+0	2013-04-17  14:54:49,	-3,020348E+0
2013-04-17  14:54:49,	-2,312129E+0	2013-04-17  14:54:49,	-3,020348E+0
2013-04-17  14:54:49,	-2,312129E+0	2013-04-17  14:54:49,	-3,020348E+0
2013-04-17  14:54:49,	-2,312129E+0	2013-04-17  14:54:49,	-2,934461E+0
2013-04-17  14:54:49,	-2,354846E+0	2013-04-17  14:54:49,	-2,891517E+0
2013-04-17  14:54:49,	-2,354846E+0	2013-04-17  14:54:49,	-2,891517E+0
2013-04-17  14:54:49,	-2,354846E+0	2013-04-17  14:54:49,	-2,891517E+0
2013-04-17  14:54:49,	-2,354846E+0	2013-04-17  14:54:49,	-2,848573E+0
2013-04-17  14:54:49,	-2,354846E+0	2013-04-17  14:54:49,	-2,891517E+0
2013-04-17  14:54:49,	-2,312129E+0	2013-04-17  14:54:49,	-2,891517E+0
2013-04-17  14:54:49,	-2,312129E+0	2013-04-17  14:54:49,	-2,934461E+0
2013-04-17  14:54:49,	-2,312129E+0	2013-04-17  14:54:49,	-2,934461E+0
2013-04-17  14:54:49,	-2,312129E+0	2013-04-17  14:54:49,	-2,977404E+0
2013-04-17  14:54:49,	-2,312129E+0	2013-04-17  14:54:49,	-2,977404E+0
2013-04-17  14:54:49,	-2,354846E+0	2013-04-17  14:54:49,	-2,977404E+0
2013-04-17  14:54:49,	-2,354846E+0	2013-04-17  14:54:49,	-2,934461E+0
2013-04-17  14:54:49,	-2,354846E+0	2013-04-17  14:54:49,	-2,934461E+0
2013-04-17  14:54:49,	-2,354846E+0	2013-04-17  14:54:49,	-2,934461E+0
2013-04-17  14:54:49,	-2,354846E+0	2013-04-17  14:54:49,	-2,934461E+0
2013-04-17  14:54:49,	-2,354846E+0	2013-04-17  14:54:49,	-2,891517E+0
2013-04-17  14:54:49,	-2,312129E+0	2013-04-17  14:54:49,	-2,891517E+0
2013-04-17  14:54:49,	-2,312129E+0	2013-04-17  14:54:49,	-2,934461E+0
2013-04-17  14:54:49,	-2,354846E+0	2013-04-17  14:54:49,	-2,934461E+0
2013-04-17  14:54:49,	-2,312129E+0	2013-04-17  14:54:49,	-2,934461E+0
2013-04-17  14:54:49,	-2,312129E+0	2013-04-17  14:54:49,	-2,934461E+0
2013-04-17  14:54:49,	-2,312129E+0	2013-04-17  14:54:49,	-2,977404E+0
2013-04-17  14:54:49,	-2,312129E+0	2013-04-17  14:54:49,	-2,934461E+0
2013-04-17  14:54:49,	-2,354846E+0	2013-04-17  14:54:49,	-2,934461E+0
2013-04-17  14:54:49,	-2,354846E+0	2013-04-17  14:54:49,	-2,934461E+0
2013-04-17  14:54:49,	-2,312129E+0	2013-04-17  14:54:49,	-2,934461E+0
2013-04-17  14:54:49,	-2,354846E+0	2013-04-17  14:54:49,	-2,934461E+0
2013-04-17  14:54:49,	-2,312129E+0	2013-04-17  14:54:49,	-2,934461E+0
2013-04-17  14:54:49,	-2,312129E+0	2013-04-17  14:54:49,	-2,934461E+0
2013-04-17  14:54:49,	-2,312129E+0	2013-04-17  14:54:49,	-2,891517E+0
2013-04-17  14:54:49,	-2,312129E+0	2013-04-17  14:54:49,	-2,934461E+0
2013-04-17  14:54:49,	-2,354846E+0	2013-04-17  14:54:49,	-2,891517E+0
2013-04-17  14:54:49,	-2,312129E+0	2013-04-17  14:54:49,	-2,934461E+0
2013-04-17  14:54:49,	-2,354846E+0	2013-04-17  14:54:49,	-2,891517E+0
2013-04-17  14:54:49,	-2,312129E+0	2013-04-17  14:54:49,	-2,934461E+0
2013-04-17  14:54:49,	-2,312129E+0	2013-04-17  14:54:49,	-2,934461E+0
2013-04-17  14:54:49,	-2,354846E+0	2013-04-17  14:54:49,	-2,934461E+0
2013-04-17  14:54:49,	-2,312129E+0	2013-04-17  14:54:49,	-2,934461E+0
2013-04-17  14:54:49,	-2,312129E+0	2013-04-17  14:54:49,	-2,891517E+0
2013-04-17  14:54:49,	-2,312129E+0	2013-04-17  14:54:49,	-2,934461E+0
2013-04-17  14:54:49,	-2,354846E+0	2013-04-17  14:54:49,	-2,934461E+0
2013-04-17  14:54:49,	-2,354846E+0	2013-04-17  14:54:49,	-2,891517E+0
2013-04-17  14:54:49,	-2,354846E+0	2013-04-17  14:54:49,	-2,934461E+0
2013-04-17  14:54:49,	-2,354846E+0	2013-04-17  14:54:49,	-2,891517E+0
2013-04-17  14:54:49,	-2,312129E+0	2013-04-17  14:54:49,	-2,934461E+0
2013-04-17  14:54:49,	-2,312129E+0	2013-04-17  14:54:49,	-2,934461E+0
2013-04-17  14:54:49,	-2,354846E+0	2013-04-17  14:54:49,	-2,934461E+0
2013-04-17  14:54:49,	-2,312129E+0	2013-04-17  14:54:49,	-2,934461E+0
2013-04-17  14:54:49,	-2,354846E+0	2013-04-17  14:54:49,	-2,934461E+0
2013-04-17  14:54:49,	-2,354846E+0	2013-04-17  14:54:49,	-2,934461E+0
2013-04-17  14:54:49,	-2,354846E+0	2013-04-17  14:54:49,	-2,934461E+0
2013-04-17  14:54:49,	-2,354846E+0	2013-04-17  14:54:49,	-2,934461E+0
2013-04-17  14:54:49,	-2,312129E+0	2013-04-17  14:54:49,	-2,934461E+0
2013-04-17  14:54:49,	-2,354846E+0	2013-04-17  14:54:49,	-2,934461E+0
