waveform	[0]		[1]	
t0	2013-04-17  15:06:47,		2013-04-17  15:06:47,	
delta t	1,000000E-8		1,000000E-8	

time[0]	Y[0]	time[1]	Y[1]
2013-04-17  15:06:47,	-1,073333E+0	2013-04-17  15:06:47,	-5,296136E-1
2013-04-17  15:06:47,	-1,500504E+0	2013-04-17  15:06:47,	-1,130825E+0
2013-04-17  15:06:47,	-1,927675E+0	2013-04-17  15:06:47,	-1,903812E+0
2013-04-17  15:06:47,	-2,141261E+0	2013-04-17  15:06:47,	-2,633855E+0
2013-04-17  15:06:47,	-2,440280E+0	2013-04-17  15:06:47,	-3,278010E+0
2013-04-17  15:06:47,	-2,696583E+0	2013-04-17  15:06:47,	-3,707447E+0
2013-04-17  15:06:47,	-2,952886E+0	2013-04-17  15:06:47,	-3,879222E+0
2013-04-17  15:06:47,	-3,251905E+0	2013-04-17  15:06:47,	-3,836278E+0
2013-04-17  15:06:47,	-3,422774E+0	2013-04-17  15:06:47,	-3,750391E+0
2013-04-17  15:06:47,	-3,508208E+0	2013-04-17  15:06:47,	-3,664504E+0
2013-04-17  15:06:47,	-3,636359E+0	2013-04-17  15:06:47,	-3,664504E+0
2013-04-17  15:06:47,	-3,636359E+0	2013-04-17  15:06:47,	-3,664504E+0
2013-04-17  15:06:47,	-3,636359E+0	2013-04-17  15:06:47,	-3,750391E+0
2013-04-17  15:06:47,	-3,679076E+0	2013-04-17  15:06:47,	-3,879222E+0
2013-04-17  15:06:47,	-3,679076E+0	2013-04-17  15:06:47,	-3,922166E+0
2013-04-17  15:06:47,	-3,721793E+0	2013-04-17  15:06:47,	-3,922166E+0
2013-04-17  15:06:47,	-3,764510E+0	2013-04-17  15:06:47,	-3,879222E+0
2013-04-17  15:06:47,	-3,807228E+0	2013-04-17  15:06:47,	-3,793335E+0
2013-04-17  15:06:47,	-3,807228E+0	2013-04-17  15:06:47,	-3,793335E+0
2013-04-17  15:06:47,	-3,807228E+0	2013-04-17  15:06:47,	-3,793335E+0
2013-04-17  15:06:47,	-3,807228E+0	2013-04-17  15:06:47,	-3,793335E+0
2013-04-17  15:06:47,	-3,807228E+0	2013-04-17  15:06:47,	-3,750391E+0
2013-04-17  15:06:47,	-3,849945E+0	2013-04-17  15:06:47,	-3,750391E+0
2013-04-17  15:06:47,	-3,849945E+0	2013-04-17  15:06:47,	-3,707447E+0
2013-04-17  15:06:47,	-3,849945E+0	2013-04-17  15:06:47,	-3,621560E+0
2013-04-17  15:06:47,	-3,849945E+0	2013-04-17  15:06:47,	-3,621560E+0
2013-04-17  15:06:47,	-3,849945E+0	2013-04-17  15:06:47,	-3,578616E+0
2013-04-17  15:06:47,	-3,807228E+0	2013-04-17  15:06:47,	-3,578616E+0
2013-04-17  15:06:47,	-3,849945E+0	2013-04-17  15:06:47,	-3,535672E+0
2013-04-17  15:06:47,	-3,849945E+0	2013-04-17  15:06:47,	-3,492729E+0
2013-04-17  15:06:47,	-3,849945E+0	2013-04-17  15:06:47,	-3,449785E+0
2013-04-17  15:06:47,	-3,849945E+0	2013-04-17  15:06:47,	-3,406841E+0
2013-04-17  15:06:47,	-3,849945E+0	2013-04-17  15:06:47,	-3,406841E+0
2013-04-17  15:06:47,	-3,849945E+0	2013-04-17  15:06:47,	-3,363898E+0
2013-04-17  15:06:47,	-3,849945E+0	2013-04-17  15:06:47,	-3,278010E+0
2013-04-17  15:06:47,	-3,849945E+0	2013-04-17  15:06:47,	-3,278010E+0
2013-04-17  15:06:47,	-3,849945E+0	2013-04-17  15:06:47,	-3,235067E+0
2013-04-17  15:06:47,	-3,849945E+0	2013-04-17  15:06:47,	-3,192123E+0
2013-04-17  15:06:47,	-3,849945E+0	2013-04-17  15:06:47,	-3,149179E+0
2013-04-17  15:06:47,	-3,849945E+0	2013-04-17  15:06:47,	-3,106235E+0
2013-04-17  15:06:47,	-3,849945E+0	2013-04-17  15:06:47,	-3,063292E+0
2013-04-17  15:06:47,	-3,849945E+0	2013-04-17  15:06:47,	-3,020348E+0
2013-04-17  15:06:47,	-3,849945E+0	2013-04-17  15:06:47,	-3,020348E+0
2013-04-17  15:06:47,	-3,849945E+0	2013-04-17  15:06:47,	-2,977404E+0
2013-04-17  15:06:47,	-3,849945E+0	2013-04-17  15:06:47,	-2,934461E+0
2013-04-17  15:06:47,	-3,849945E+0	2013-04-17  15:06:47,	-2,891517E+0
2013-04-17  15:06:47,	-3,849945E+0	2013-04-17  15:06:47,	-2,848573E+0
2013-04-17  15:06:47,	-3,849945E+0	2013-04-17  15:06:47,	-2,805630E+0
2013-04-17  15:06:47,	-3,849945E+0	2013-04-17  15:06:47,	-2,805630E+0
2013-04-17  15:06:47,	-3,849945E+0	2013-04-17  15:06:47,	-2,762686E+0
2013-04-17  15:06:47,	-3,849945E+0	2013-04-17  15:06:47,	-2,719742E+0
2013-04-17  15:06:47,	-3,849945E+0	2013-04-17  15:06:47,	-2,676798E+0
2013-04-17  15:06:47,	-3,849945E+0	2013-04-17  15:06:47,	-2,633855E+0
2013-04-17  15:06:47,	-3,849945E+0	2013-04-17  15:06:47,	-2,633855E+0
2013-04-17  15:06:47,	-3,849945E+0	2013-04-17  15:06:47,	-2,547967E+0
2013-04-17  15:06:47,	-3,849945E+0	2013-04-17  15:06:47,	-2,547967E+0
2013-04-17  15:06:47,	-3,849945E+0	2013-04-17  15:06:47,	-2,547967E+0
2013-04-17  15:06:47,	-3,849945E+0	2013-04-17  15:06:47,	-2,462080E+0
2013-04-17  15:06:47,	-3,849945E+0	2013-04-17  15:06:47,	-2,462080E+0
2013-04-17  15:06:47,	-3,849945E+0	2013-04-17  15:06:47,	-2,419136E+0
2013-04-17  15:06:47,	-3,849945E+0	2013-04-17  15:06:47,	-2,376193E+0
2013-04-17  15:06:47,	-3,892662E+0	2013-04-17  15:06:47,	-2,376193E+0
2013-04-17  15:06:47,	-3,849945E+0	2013-04-17  15:06:47,	-2,290305E+0
2013-04-17  15:06:47,	-3,849945E+0	2013-04-17  15:06:47,	-2,290305E+0
2013-04-17  15:06:47,	-3,849945E+0	2013-04-17  15:06:47,	-2,247361E+0
2013-04-17  15:06:47,	-3,849945E+0	2013-04-17  15:06:47,	-2,247361E+0
2013-04-17  15:06:47,	-3,849945E+0	2013-04-17  15:06:47,	-2,204418E+0
