waveform	[0]		[1]	
t0	2013-04-17  15:11:54,		2013-04-17  15:11:54,	
delta t	1,000000E-8		1,000000E-8	

time[0]	Y[0]	time[1]	Y[1]
2013-04-17  15:11:54,	3,731135E-2	2013-04-17  15:11:54,	-1,423132E-3
2013-04-17  15:11:54,	3,731135E-2	2013-04-17  15:11:54,	-1,423132E-3
2013-04-17  15:11:54,	3,731135E-2	2013-04-17  15:11:54,	2,849902E-3
2013-04-17  15:11:54,	3,731135E-2	2013-04-17  15:11:54,	-1,423132E-3
2013-04-17  15:11:54,	3,731135E-2	2013-04-17  15:11:54,	2,849902E-3
2013-04-17  15:11:54,	3,731135E-2	2013-04-17  15:11:54,	2,849902E-3
2013-04-17  15:11:54,	3,731135E-2	2013-04-17  15:11:54,	2,849902E-3
2013-04-17  15:11:54,	3,731135E-2	2013-04-17  15:11:54,	-1,423132E-3
2013-04-17  15:11:54,	3,731135E-2	2013-04-17  15:11:54,	-1,423132E-3
2013-04-17  15:11:54,	3,731135E-2	2013-04-17  15:11:54,	-1,423132E-3
2013-04-17  15:11:54,	3,731135E-2	2013-04-17  15:11:54,	-1,423132E-3
2013-04-17  15:11:54,	8,002845E-2	2013-04-17  15:11:54,	-5,696167E-3
2013-04-17  15:11:54,	3,731135E-2	2013-04-17  15:11:54,	-1,423132E-3
2013-04-17  15:11:54,	3,731135E-2	2013-04-17  15:11:54,	-1,423132E-3
2013-04-17  15:11:54,	8,002845E-2	2013-04-17  15:11:54,	-1,423132E-3
2013-04-17  15:11:54,	3,731135E-2	2013-04-17  15:11:54,	-1,423132E-3
2013-04-17  15:11:54,	3,731135E-2	2013-04-17  15:11:54,	2,849902E-3
2013-04-17  15:11:54,	3,731135E-2	2013-04-17  15:11:54,	2,849902E-3
2013-04-17  15:11:54,	3,731135E-2	2013-04-17  15:11:54,	2,849902E-3
2013-04-17  15:11:54,	3,731135E-2	2013-04-17  15:11:54,	2,849902E-3
2013-04-17  15:11:54,	3,731135E-2	2013-04-17  15:11:54,	2,849902E-3
2013-04-17  15:11:54,	3,731135E-2	2013-04-17  15:11:54,	2,849902E-3
2013-04-17  15:11:54,	3,731135E-2	2013-04-17  15:11:54,	-1,423132E-3
2013-04-17  15:11:54,	3,731135E-2	2013-04-17  15:11:54,	-1,423132E-3
2013-04-17  15:11:54,	3,731135E-2	2013-04-17  15:11:54,	2,849902E-3
2013-04-17  15:11:54,	3,731135E-2	2013-04-17  15:11:54,	-1,423132E-3
2013-04-17  15:11:54,	3,731135E-2	2013-04-17  15:11:54,	-1,423132E-3
2013-04-17  15:11:54,	3,731135E-2	2013-04-17  15:11:54,	-1,423132E-3
2013-04-17  15:11:54,	3,731135E-2	2013-04-17  15:11:54,	-1,423132E-3
2013-04-17  15:11:54,	3,731135E-2	2013-04-17  15:11:54,	-1,423132E-3
2013-04-17  15:11:54,	-4,812285E-2	2013-04-17  15:11:54,	-1,423132E-3
2013-04-17  15:11:54,	-1,762741E-1	2013-04-17  15:11:54,	-9,969201E-3
2013-04-17  15:11:54,	-5,607280E-1	2013-04-17  15:11:54,	-3,133437E-2
2013-04-17  15:11:54,	-9,878990E-1	2013-04-17  15:11:54,	-6,979169E-2
2013-04-17  15:11:54,	-1,628656E+0	2013-04-17  15:11:54,	-1,167951E-1
2013-04-17  15:11:54,	-2,312129E+0	2013-04-17  15:11:54,	-1,723445E-1
2013-04-17  15:11:54,	-2,824734E+0	2013-04-17  15:11:54,	-2,108018E-1
2013-04-17  15:11:54,	-3,294622E+0	2013-04-17  15:11:54,	-2,278940E-1
2013-04-17  15:11:54,	-3,636359E+0	2013-04-17  15:11:54,	-2,407131E-1
2013-04-17  15:11:54,	-3,935379E+0	2013-04-17  15:11:54,	-2,663513E-1
2013-04-17  15:11:54,	-4,191681E+0	2013-04-17  15:11:54,	-2,834434E-1
2013-04-17  15:11:54,	-4,319833E+0	2013-04-17  15:11:54,	-2,877165E-1
2013-04-17  15:11:54,	-4,490701E+0	2013-04-17  15:11:54,	-2,877165E-1
2013-04-17  15:11:54,	-4,576135E+0	2013-04-17  15:11:54,	-2,877165E-1
2013-04-17  15:11:54,	-4,661570E+0	2013-04-17  15:11:54,	-2,919895E-1
2013-04-17  15:11:54,	-4,704287E+0	2013-04-17  15:11:54,	-2,962625E-1
2013-04-17  15:11:54,	-4,747004E+0	2013-04-17  15:11:54,	-2,962625E-1
2013-04-17  15:11:54,	-4,789721E+0	2013-04-17  15:11:54,	-2,877165E-1
2013-04-17  15:11:54,	-4,832438E+0	2013-04-17  15:11:54,	-2,877165E-1
2013-04-17  15:11:54,	-4,832438E+0	2013-04-17  15:11:54,	-2,877165E-1
