waveform	[0]		[1]	
t0	2013-04-17  15:24:11,		2013-04-17  15:24:11,	
delta t	1,000000E-8		1,000000E-8	

time[0]	Y[0]	time[1]	Y[1]
2013-04-17  15:24:11,	4,949778E+0	2013-04-17  15:24:11,	4,280081E+0
2013-04-17  15:24:11,	4,949778E+0	2013-04-17  15:24:11,	4,280081E+0
2013-04-17  15:24:11,	4,949778E+0	2013-04-17  15:24:11,	4,323024E+0
2013-04-17  15:24:11,	4,992495E+0	2013-04-17  15:24:11,	4,323024E+0
2013-04-17  15:24:11,	4,949778E+0	2013-04-17  15:24:11,	4,280081E+0
2013-04-17  15:24:11,	4,949778E+0	2013-04-17  15:24:11,	4,280081E+0
2013-04-17  15:24:11,	4,949778E+0	2013-04-17  15:24:11,	4,280081E+0
2013-04-17  15:24:11,	4,907061E+0	2013-04-17  15:24:11,	4,323024E+0
2013-04-17  15:24:11,	4,949778E+0	2013-04-17  15:24:11,	4,280081E+0
2013-04-17  15:24:11,	4,949778E+0	2013-04-17  15:24:11,	4,280081E+0
2013-04-17  15:24:11,	4,949778E+0	2013-04-17  15:24:11,	4,280081E+0
2013-04-17  15:24:11,	4,907061E+0	2013-04-17  15:24:11,	4,280081E+0
2013-04-17  15:24:11,	4,949778E+0	2013-04-17  15:24:11,	4,280081E+0
2013-04-17  15:24:11,	4,949778E+0	2013-04-17  15:24:11,	4,323024E+0
2013-04-17  15:24:11,	4,907061E+0	2013-04-17  15:24:11,	4,280081E+0
2013-04-17  15:24:11,	4,907061E+0	2013-04-17  15:24:11,	4,280081E+0
2013-04-17  15:24:11,	4,864344E+0	2013-04-17  15:24:11,	4,280081E+0
2013-04-17  15:24:11,	4,693475E+0	2013-04-17  15:24:11,	4,237137E+0
2013-04-17  15:24:11,	4,351738E+0	2013-04-17  15:24:11,	4,194193E+0
2013-04-17  15:24:11,	3,881850E+0	2013-04-17  15:24:11,	4,022418E+0
2013-04-17  15:24:11,	3,241094E+0	2013-04-17  15:24:11,	3,893587E+0
2013-04-17  15:24:11,	2,643054E+0	2013-04-17  15:24:11,	3,764756E+0
2013-04-17  15:24:11,	2,045015E+0	2013-04-17  15:24:11,	3,635925E+0
2013-04-17  15:24:11,	1,617844E+0	2013-04-17  15:24:11,	3,592981E+0
2013-04-17  15:24:11,	1,318824E+0	2013-04-17  15:24:11,	3,464150E+0
2013-04-17  15:24:11,	1,019805E+0	2013-04-17  15:24:11,	3,292375E+0
2013-04-17  15:24:11,	7,635020E-1	2013-04-17  15:24:11,	3,249432E+0
2013-04-17  15:24:11,	6,353507E-1	2013-04-17  15:24:11,	3,163544E+0
2013-04-17  15:24:11,	4,644823E-1	2013-04-17  15:24:11,	3,077657E+0
2013-04-17  15:24:11,	4,217652E-1	2013-04-17  15:24:11,	2,948826E+0
2013-04-17  15:24:11,	2,936139E-1	2013-04-17  15:24:11,	2,905882E+0
2013-04-17  15:24:11,	2,508968E-1	2013-04-17  15:24:11,	2,819995E+0
2013-04-17  15:24:11,	2,081797E-1	2013-04-17  15:24:11,	2,734107E+0
