waveform	[0]		[1]	
t0	2013-04-17  15:36:46,		2013-04-17  15:36:46,	
delta t	1,000000E-8		1,000000E-8	

time[0]	Y[0]	time[1]	Y[1]
2013-04-17  15:36:46,	8,002845E-2	2013-04-17  15:36:46,	7,159817E-2
2013-04-17  15:36:46,	8,002845E-2	2013-04-17  15:36:46,	7,159817E-2
2013-04-17  15:36:46,	8,002845E-2	2013-04-17  15:36:46,	7,159817E-2
2013-04-17  15:36:46,	8,002845E-2	2013-04-17  15:36:46,	7,159817E-2
2013-04-17  15:36:46,	8,002845E-2	2013-04-17  15:36:46,	7,159817E-2
2013-04-17  15:36:46,	8,002845E-2	2013-04-17  15:36:46,	7,159817E-2
2013-04-17  15:36:46,	1,227455E-1	2013-04-17  15:36:46,	7,159817E-2
2013-04-17  15:36:46,	8,002845E-2	2013-04-17  15:36:46,	7,159817E-2
2013-04-17  15:36:46,	8,002845E-2	2013-04-17  15:36:46,	7,159817E-2
2013-04-17  15:36:46,	1,227455E-1	2013-04-17  15:36:46,	1,145419E-1
2013-04-17  15:36:46,	8,002845E-2	2013-04-17  15:36:46,	7,159817E-2
2013-04-17  15:36:46,	8,002845E-2	2013-04-17  15:36:46,	1,145419E-1
2013-04-17  15:36:46,	8,002845E-2	2013-04-17  15:36:46,	7,159817E-2
2013-04-17  15:36:46,	8,002845E-2	2013-04-17  15:36:46,	7,159817E-2
2013-04-17  15:36:46,	8,002845E-2	2013-04-17  15:36:46,	7,159817E-2
2013-04-17  15:36:46,	1,227455E-1	2013-04-17  15:36:46,	7,159817E-2
2013-04-17  15:36:46,	1,227455E-1	2013-04-17  15:36:46,	7,159817E-2
2013-04-17  15:36:46,	2,508968E-1	2013-04-17  15:36:46,	1,145419E-1
2013-04-17  15:36:46,	4,644823E-1	2013-04-17  15:36:46,	7,159817E-2
2013-04-17  15:36:46,	9,770875E-1	2013-04-17  15:36:46,	7,159817E-2
2013-04-17  15:36:46,	1,617844E+0	2013-04-17  15:36:46,	7,159817E-2
2013-04-17  15:36:46,	2,215883E+0	2013-04-17  15:36:46,	2,004293E-1
2013-04-17  15:36:46,	2,643054E+0	2013-04-17  15:36:46,	3,292604E-1
2013-04-17  15:36:46,	2,856640E+0	2013-04-17  15:36:46,	5,439788E-1
2013-04-17  15:36:46,	2,984791E+0	2013-04-17  15:36:46,	1,016360E+0
2013-04-17  15:36:46,	3,027508E+0	2013-04-17  15:36:46,	1,531684E+0
2013-04-17  15:36:46,	3,070225E+0	2013-04-17  15:36:46,	2,218783E+0
2013-04-17  15:36:46,	3,155660E+0	2013-04-17  15:36:46,	2,862939E+0
