waveform	[0]		[1]	
t0	2013-04-17  15:59:49,		2013-04-17  15:59:49,	
delta t	1,000000E-8		1,000000E-8	

time[0]	Y[0]	time[1]	Y[1]
2013-04-17  15:59:49,	3,497396E+0	2013-04-17  15:59:49,	1,016360E+0
2013-04-17  15:59:49,	3,497396E+0	2013-04-17  15:59:49,	9,734158E-1
2013-04-17  15:59:49,	3,497396E+0	2013-04-17  15:59:49,	9,734158E-1
2013-04-17  15:59:49,	3,497396E+0	2013-04-17  15:59:49,	9,734158E-1
2013-04-17  15:59:49,	3,497396E+0	2013-04-17  15:59:49,	1,016360E+0
2013-04-17  15:59:49,	3,497396E+0	2013-04-17  15:59:49,	1,016360E+0
2013-04-17  15:59:49,	3,497396E+0	2013-04-17  15:59:49,	1,016360E+0
2013-04-17  15:59:49,	3,497396E+0	2013-04-17  15:59:49,	9,734158E-1
2013-04-17  15:59:49,	3,497396E+0	2013-04-17  15:59:49,	1,016360E+0
2013-04-17  15:59:49,	3,497396E+0	2013-04-17  15:59:49,	9,734158E-1
2013-04-17  15:59:49,	3,497396E+0	2013-04-17  15:59:49,	1,016360E+0
2013-04-17  15:59:49,	3,497396E+0	2013-04-17  15:59:49,	1,016360E+0
2013-04-17  15:59:49,	3,497396E+0	2013-04-17  15:59:49,	1,016360E+0
2013-04-17  15:59:49,	3,497396E+0	2013-04-17  15:59:49,	1,016360E+0
2013-04-17  15:59:49,	3,454679E+0	2013-04-17  15:59:49,	1,016360E+0
2013-04-17  15:59:49,	3,411962E+0	2013-04-17  15:59:49,	9,734158E-1
2013-04-17  15:59:49,	3,241094E+0	2013-04-17  15:59:49,	9,734158E-1
2013-04-17  15:59:49,	2,984791E+0	2013-04-17  15:59:49,	1,016360E+0
2013-04-17  15:59:49,	2,600337E+0	2013-04-17  15:59:49,	1,016360E+0
2013-04-17  15:59:49,	2,130449E+0	2013-04-17  15:59:49,	1,016360E+0
2013-04-17  15:59:49,	1,703278E+0	2013-04-17  15:59:49,	1,016360E+0
2013-04-17  15:59:49,	1,318824E+0	2013-04-17  15:59:49,	1,016360E+0
2013-04-17  15:59:49,	1,062522E+0	2013-04-17  15:59:49,	1,059303E+0
2013-04-17  15:59:49,	8,062191E-1	2013-04-17  15:59:49,	1,059303E+0
2013-04-17  15:59:49,	6,353507E-1	2013-04-17  15:59:49,	1,102247E+0
2013-04-17  15:59:49,	4,644823E-1	2013-04-17  15:59:49,	1,059303E+0
2013-04-17  15:59:49,	3,790481E-1	2013-04-17  15:59:49,	1,102247E+0
2013-04-17  15:59:49,	2,936139E-1	2013-04-17  15:59:49,	1,145191E+0
2013-04-17  15:59:49,	2,508968E-1	2013-04-17  15:59:49,	1,145191E+0
2013-04-17  15:59:49,	1,654626E-1	2013-04-17  15:59:49,	1,188134E+0
2013-04-17  15:59:49,	1,227455E-1	2013-04-17  15:59:49,	1,188134E+0
2013-04-17  15:59:49,	1,227455E-1	2013-04-17  15:59:49,	1,231078E+0
2013-04-17  15:59:49,	1,227455E-1	2013-04-17  15:59:49,	1,231078E+0
2013-04-17  15:59:49,	8,002845E-2	2013-04-17  15:59:49,	1,231078E+0
2013-04-17  15:59:49,	8,002845E-2	2013-04-17  15:59:49,	1,274022E+0
2013-04-17  15:59:49,	8,002845E-2	2013-04-17  15:59:49,	1,316965E+0
2013-04-17  15:59:49,	8,002845E-2	2013-04-17  15:59:49,	1,316965E+0
2013-04-17  15:59:49,	3,731135E-2	2013-04-17  15:59:49,	1,359909E+0
2013-04-17  15:59:49,	8,002845E-2	2013-04-17  15:59:49,	1,402853E+0
2013-04-17  15:59:49,	3,731135E-2	2013-04-17  15:59:49,	1,402853E+0
2013-04-17  15:59:49,	8,002845E-2	2013-04-17  15:59:49,	1,445796E+0
2013-04-17  15:59:49,	3,731135E-2	2013-04-17  15:59:49,	1,488740E+0
