waveform	[0]		[1]	
t0	2013-04-17  16:14:45,		2013-04-17  16:14:45,	
delta t	1,000000E-8		1,000000E-8	

time[0]	Y[0]	time[1]	Y[1]
2013-04-17  16:14:45,	3,497396E+0	2013-04-17  16:14:45,	1,016360E+0
2013-04-17  16:14:45,	3,497396E+0	2013-04-17  16:14:45,	1,016360E+0
2013-04-17  16:14:45,	3,497396E+0	2013-04-17  16:14:45,	1,016360E+0
2013-04-17  16:14:45,	3,497396E+0	2013-04-17  16:14:45,	1,016360E+0
2013-04-17  16:14:45,	3,497396E+0	2013-04-17  16:14:45,	1,016360E+0
2013-04-17  16:14:45,	3,497396E+0	2013-04-17  16:14:45,	1,016360E+0
2013-04-17  16:14:45,	3,497396E+0	2013-04-17  16:14:45,	9,734158E-1
2013-04-17  16:14:45,	3,540113E+0	2013-04-17  16:14:45,	1,016360E+0
2013-04-17  16:14:45,	3,497396E+0	2013-04-17  16:14:45,	1,016360E+0
2013-04-17  16:14:45,	3,497396E+0	2013-04-17  16:14:45,	1,016360E+0
2013-04-17  16:14:45,	3,454679E+0	2013-04-17  16:14:45,	1,016360E+0
2013-04-17  16:14:45,	3,497396E+0	2013-04-17  16:14:45,	1,016360E+0
2013-04-17  16:14:45,	3,497396E+0	2013-04-17  16:14:45,	1,016360E+0
2013-04-17  16:14:45,	3,497396E+0	2013-04-17  16:14:45,	1,016360E+0
2013-04-17  16:14:45,	3,454679E+0	2013-04-17  16:14:45,	1,016360E+0
2013-04-17  16:14:45,	3,369245E+0	2013-04-17  16:14:45,	1,016360E+0
2013-04-17  16:14:45,	3,241094E+0	2013-04-17  16:14:45,	1,016360E+0
2013-04-17  16:14:45,	2,942074E+0	2013-04-17  16:14:45,	1,016360E+0
2013-04-17  16:14:45,	2,514903E+0	2013-04-17  16:14:45,	1,016360E+0
2013-04-17  16:14:45,	2,087732E+0	2013-04-17  16:14:45,	1,016360E+0
2013-04-17  16:14:45,	1,660561E+0	2013-04-17  16:14:45,	1,016360E+0
2013-04-17  16:14:45,	1,318824E+0	2013-04-17  16:14:45,	1,059303E+0
2013-04-17  16:14:45,	1,019805E+0	2013-04-17  16:14:45,	1,016360E+0
2013-04-17  16:14:45,	8,062191E-1	2013-04-17  16:14:45,	1,059303E+0
2013-04-17  16:14:45,	5,926336E-1	2013-04-17  16:14:45,	1,059303E+0
2013-04-17  16:14:45,	4,644823E-1	2013-04-17  16:14:45,	1,059303E+0
2013-04-17  16:14:45,	3,790481E-1	2013-04-17  16:14:45,	1,102247E+0
2013-04-17  16:14:45,	2,936139E-1	2013-04-17  16:14:45,	1,102247E+0
2013-04-17  16:14:45,	2,508968E-1	2013-04-17  16:14:45,	1,102247E+0
2013-04-17  16:14:45,	1,654626E-1	2013-04-17  16:14:45,	1,145191E+0
2013-04-17  16:14:45,	1,227455E-1	2013-04-17  16:14:45,	1,145191E+0
2013-04-17  16:14:45,	1,227455E-1	2013-04-17  16:14:45,	1,145191E+0
2013-04-17  16:14:45,	1,227455E-1	2013-04-17  16:14:45,	1,145191E+0
2013-04-17  16:14:45,	1,227455E-1	2013-04-17  16:14:45,	1,145191E+0
2013-04-17  16:14:45,	8,002845E-2	2013-04-17  16:14:45,	1,145191E+0
2013-04-17  16:14:45,	8,002845E-2	2013-04-17  16:14:45,	1,188134E+0
2013-04-17  16:14:45,	8,002845E-2	2013-04-17  16:14:45,	1,231078E+0
2013-04-17  16:14:45,	8,002845E-2	2013-04-17  16:14:45,	1,231078E+0
2013-04-17  16:14:45,	8,002845E-2	2013-04-17  16:14:45,	1,231078E+0
2013-04-17  16:14:45,	3,731135E-2	2013-04-17  16:14:45,	1,231078E+0
2013-04-17  16:14:45,	8,002845E-2	2013-04-17  16:14:45,	1,231078E+0
2013-04-17  16:14:45,	3,731135E-2	2013-04-17  16:14:45,	1,231078E+0
2013-04-17  16:14:45,	8,002845E-2	2013-04-17  16:14:45,	1,274022E+0
2013-04-17  16:14:45,	3,731135E-2	2013-04-17  16:14:45,	1,274022E+0
2013-04-17  16:14:45,	8,002845E-2	2013-04-17  16:14:45,	1,316965E+0
2013-04-17  16:14:45,	3,731135E-2	2013-04-17  16:14:45,	1,316965E+0
2013-04-17  16:14:45,	8,002845E-2	2013-04-17  16:14:45,	1,316965E+0
2013-04-17  16:14:45,	3,731135E-2	2013-04-17  16:14:45,	1,359909E+0
2013-04-17  16:14:45,	8,002845E-2	2013-04-17  16:14:45,	1,359909E+0
2013-04-17  16:14:45,	3,731135E-2	2013-04-17  16:14:45,	1,402853E+0
2013-04-17  16:14:45,	3,731135E-2	2013-04-17  16:14:45,	1,359909E+0
2013-04-17  16:14:45,	8,002845E-2	2013-04-17  16:14:45,	1,359909E+0
2013-04-17  16:14:45,	3,731135E-2	2013-04-17  16:14:45,	1,402853E+0
2013-04-17  16:14:45,	3,731135E-2	2013-04-17  16:14:45,	1,402853E+0
2013-04-17  16:14:45,	3,731135E-2	2013-04-17  16:14:45,	1,445796E+0
2013-04-17  16:14:45,	3,731135E-2	2013-04-17  16:14:45,	1,445796E+0
2013-04-17  16:14:45,	3,731135E-2	2013-04-17  16:14:45,	1,445796E+0
2013-04-17  16:14:45,	8,002845E-2	2013-04-17  16:14:45,	1,488740E+0
2013-04-17  16:14:45,	3,731135E-2	2013-04-17  16:14:45,	1,531684E+0
2013-04-17  16:14:45,	8,002845E-2	2013-04-17  16:14:45,	1,531684E+0
2013-04-17  16:14:45,	3,731135E-2	2013-04-17  16:14:45,	1,531684E+0
2013-04-17  16:14:45,	8,002845E-2	2013-04-17  16:14:45,	1,574628E+0
2013-04-17  16:14:45,	8,002845E-2	2013-04-17  16:14:45,	1,574628E+0
2013-04-17  16:14:45,	8,002845E-2	2013-04-17  16:14:45,	1,574628E+0
2013-04-17  16:14:45,	3,731135E-2	2013-04-17  16:14:45,	1,617571E+0
2013-04-17  16:14:45,	8,002845E-2	2013-04-17  16:14:45,	1,617571E+0
2013-04-17  16:14:45,	8,002845E-2	2013-04-17  16:14:45,	1,617571E+0
2013-04-17  16:14:45,	8,002845E-2	2013-04-17  16:14:45,	1,617571E+0
2013-04-17  16:14:45,	3,731135E-2	2013-04-17  16:14:45,	1,660515E+0
2013-04-17  16:14:45,	8,002845E-2	2013-04-17  16:14:45,	1,703459E+0
2013-04-17  16:14:45,	8,002845E-2	2013-04-17  16:14:45,	1,703459E+0
2013-04-17  16:14:45,	3,731135E-2	2013-04-17  16:14:45,	1,703459E+0
2013-04-17  16:14:45,	3,731135E-2	2013-04-17  16:14:45,	1,746402E+0
2013-04-17  16:14:45,	3,731135E-2	2013-04-17  16:14:45,	1,746402E+0
2013-04-17  16:14:45,	3,731135E-2	2013-04-17  16:14:45,	1,789346E+0
2013-04-17  16:14:45,	3,731135E-2	2013-04-17  16:14:45,	1,789346E+0
2013-04-17  16:14:45,	3,731135E-2	2013-04-17  16:14:45,	1,832290E+0
2013-04-17  16:14:45,	8,002845E-2	2013-04-17  16:14:45,	1,832290E+0
2013-04-17  16:14:45,	3,731135E-2	2013-04-17  16:14:45,	1,875233E+0
2013-04-17  16:14:45,	8,002845E-2	2013-04-17  16:14:45,	1,875233E+0
2013-04-17  16:14:45,	8,002845E-2	2013-04-17  16:14:45,	1,918177E+0
2013-04-17  16:14:45,	3,731135E-2	2013-04-17  16:14:45,	1,918177E+0
2013-04-17  16:14:45,	3,731135E-2	2013-04-17  16:14:45,	1,961121E+0
2013-04-17  16:14:45,	3,731135E-2	2013-04-17  16:14:45,	2,004065E+0
2013-04-17  16:14:45,	3,731135E-2	2013-04-17  16:14:45,	2,047008E+0
2013-04-17  16:14:45,	3,731135E-2	2013-04-17  16:14:45,	2,047008E+0
2013-04-17  16:14:45,	8,002845E-2	2013-04-17  16:14:45,	2,089952E+0
2013-04-17  16:14:45,	8,002845E-2	2013-04-17  16:14:45,	2,132896E+0
2013-04-17  16:14:45,	3,731135E-2	2013-04-17  16:14:45,	2,175839E+0
2013-04-17  16:14:45,	8,002845E-2	2013-04-17  16:14:45,	2,218783E+0
2013-04-17  16:14:45,	3,731135E-2	2013-04-17  16:14:45,	2,218783E+0
2013-04-17  16:14:45,	3,731135E-2	2013-04-17  16:14:45,	2,261727E+0
2013-04-17  16:14:45,	3,731135E-2	2013-04-17  16:14:45,	2,304670E+0
2013-04-17  16:14:45,	3,731135E-2	2013-04-17  16:14:45,	2,347614E+0
2013-04-17  16:14:45,	3,731135E-2	2013-04-17  16:14:45,	2,390558E+0
2013-04-17  16:14:45,	3,731135E-2	2013-04-17  16:14:45,	2,433502E+0
2013-04-17  16:14:45,	3,731135E-2	2013-04-17  16:14:45,	2,476445E+0
2013-04-17  16:14:45,	8,002845E-2	2013-04-17  16:14:45,	2,519389E+0
2013-04-17  16:14:45,	3,731135E-2	2013-04-17  16:14:45,	2,562333E+0
2013-04-17  16:14:45,	8,002845E-2	2013-04-17  16:14:45,	2,605276E+0
2013-04-17  16:14:45,	3,731135E-2	2013-04-17  16:14:45,	2,605276E+0
2013-04-17  16:14:45,	3,731135E-2	2013-04-17  16:14:45,	2,691164E+0
2013-04-17  16:14:45,	8,002845E-2	2013-04-17  16:14:45,	2,734107E+0
2013-04-17  16:14:45,	8,002845E-2	2013-04-17  16:14:45,	2,777051E+0
2013-04-17  16:14:45,	8,002845E-2	2013-04-17  16:14:45,	2,777051E+0
2013-04-17  16:14:45,	8,002845E-2	2013-04-17  16:14:45,	2,819995E+0
2013-04-17  16:14:45,	8,002845E-2	2013-04-17  16:14:45,	2,905882E+0
2013-04-17  16:14:45,	3,731135E-2	2013-04-17  16:14:45,	2,948826E+0
2013-04-17  16:14:45,	3,731135E-2	2013-04-17  16:14:45,	2,948826E+0
2013-04-17  16:14:45,	3,731135E-2	2013-04-17  16:14:45,	3,034713E+0
2013-04-17  16:14:45,	3,731135E-2	2013-04-17  16:14:45,	3,077657E+0
2013-04-17  16:14:45,	8,002845E-2	2013-04-17  16:14:45,	3,120601E+0
2013-04-17  16:14:45,	3,731135E-2	2013-04-17  16:14:45,	3,163544E+0
2013-04-17  16:14:45,	3,731135E-2	2013-04-17  16:14:45,	3,206488E+0
2013-04-17  16:14:45,	3,731135E-2	2013-04-17  16:14:45,	3,249432E+0
2013-04-17  16:14:45,	3,731135E-2	2013-04-17  16:14:45,	3,292375E+0
2013-04-17  16:14:45,	3,731135E-2	2013-04-17  16:14:45,	3,335319E+0
2013-04-17  16:14:45,	3,731135E-2	2013-04-17  16:14:45,	3,378263E+0
2013-04-17  16:14:45,	3,731135E-2	2013-04-17  16:14:45,	3,421207E+0
2013-04-17  16:14:45,	3,731135E-2	2013-04-17  16:14:45,	3,464150E+0
2013-04-17  16:14:45,	3,731135E-2	2013-04-17  16:14:45,	3,507094E+0
