waveform	[0]		[1]	
t0	2013-04-17  16:18:00,		2013-04-17  16:18:00,	
delta t	1,000000E-8		1,000000E-8	

time[0]	Y[0]	time[1]	Y[1]
2013-04-17  16:18:00,	3,497396E+0	2013-04-17  16:18:00,	9,734158E-1
2013-04-17  16:18:00,	3,497396E+0	2013-04-17  16:18:00,	1,016360E+0
2013-04-17  16:18:00,	3,497396E+0	2013-04-17  16:18:00,	1,016360E+0
2013-04-17  16:18:00,	3,497396E+0	2013-04-17  16:18:00,	9,734158E-1
2013-04-17  16:18:00,	3,497396E+0	2013-04-17  16:18:00,	9,734158E-1
2013-04-17  16:18:00,	3,497396E+0	2013-04-17  16:18:00,	1,016360E+0
2013-04-17  16:18:00,	3,497396E+0	2013-04-17  16:18:00,	1,016360E+0
2013-04-17  16:18:00,	3,497396E+0	2013-04-17  16:18:00,	1,016360E+0
2013-04-17  16:18:00,	3,497396E+0	2013-04-17  16:18:00,	1,016360E+0
2013-04-17  16:18:00,	3,497396E+0	2013-04-17  16:18:00,	1,016360E+0
2013-04-17  16:18:00,	3,497396E+0	2013-04-17  16:18:00,	1,016360E+0
2013-04-17  16:18:00,	3,497396E+0	2013-04-17  16:18:00,	1,016360E+0
2013-04-17  16:18:00,	3,497396E+0	2013-04-17  16:18:00,	1,016360E+0
2013-04-17  16:18:00,	3,497396E+0	2013-04-17  16:18:00,	9,734158E-1
2013-04-17  16:18:00,	3,454679E+0	2013-04-17  16:18:00,	9,734158E-1
2013-04-17  16:18:00,	3,326528E+0	2013-04-17  16:18:00,	9,734158E-1
2013-04-17  16:18:00,	3,112942E+0	2013-04-17  16:18:00,	9,734158E-1
2013-04-17  16:18:00,	2,771206E+0	2013-04-17  16:18:00,	1,016360E+0
2013-04-17  16:18:00,	2,301318E+0	2013-04-17  16:18:00,	1,016360E+0
2013-04-17  16:18:00,	1,874147E+0	2013-04-17  16:18:00,	1,016360E+0
2013-04-17  16:18:00,	1,489693E+0	2013-04-17  16:18:00,	1,016360E+0
2013-04-17  16:18:00,	1,147956E+0	2013-04-17  16:18:00,	1,016360E+0
2013-04-17  16:18:00,	8,916533E-1	2013-04-17  16:18:00,	9,734158E-1
2013-04-17  16:18:00,	6,780678E-1	2013-04-17  16:18:00,	1,016360E+0
2013-04-17  16:18:00,	5,499165E-1	2013-04-17  16:18:00,	1,059303E+0
2013-04-17  16:18:00,	4,217652E-1	2013-04-17  16:18:00,	1,059303E+0
2013-04-17  16:18:00,	3,363310E-1	2013-04-17  16:18:00,	1,102247E+0
2013-04-17  16:18:00,	2,508968E-1	2013-04-17  16:18:00,	1,102247E+0
2013-04-17  16:18:00,	2,081797E-1	2013-04-17  16:18:00,	1,145191E+0
2013-04-17  16:18:00,	1,654626E-1	2013-04-17  16:18:00,	1,145191E+0
2013-04-17  16:18:00,	1,227455E-1	2013-04-17  16:18:00,	1,188134E+0
