waveform	[0]		[1]	
t0	2013-04-17  15:24:43,		2013-04-17  15:24:43,	
delta t	1,000000E-8		1,000000E-8	

time[0]	Y[0]	time[1]	Y[1]
2013-04-17  15:24:43,	2,472186E+0	2013-04-17  15:24:43,	1,875233E+0
2013-04-17  15:24:43,	2,514903E+0	2013-04-17  15:24:43,	1,875233E+0
2013-04-17  15:24:43,	2,514903E+0	2013-04-17  15:24:43,	1,875233E+0
2013-04-17  15:24:43,	2,514903E+0	2013-04-17  15:24:43,	1,918177E+0
2013-04-17  15:24:43,	2,514903E+0	2013-04-17  15:24:43,	1,875233E+0
2013-04-17  15:24:43,	2,514903E+0	2013-04-17  15:24:43,	1,875233E+0
2013-04-17  15:24:43,	2,514903E+0	2013-04-17  15:24:43,	1,875233E+0
2013-04-17  15:24:43,	2,514903E+0	2013-04-17  15:24:43,	1,875233E+0
2013-04-17  15:24:43,	2,514903E+0	2013-04-17  15:24:43,	1,918177E+0
2013-04-17  15:24:43,	2,514903E+0	2013-04-17  15:24:43,	1,918177E+0
2013-04-17  15:24:43,	2,472186E+0	2013-04-17  15:24:43,	1,875233E+0
2013-04-17  15:24:43,	2,429469E+0	2013-04-17  15:24:43,	1,875233E+0
2013-04-17  15:24:43,	2,258601E+0	2013-04-17  15:24:43,	1,875233E+0
2013-04-17  15:24:43,	1,959581E+0	2013-04-17  15:24:43,	1,832290E+0
2013-04-17  15:24:43,	1,446976E+0	2013-04-17  15:24:43,	1,746402E+0
2013-04-17  15:24:43,	8,062191E-1	2013-04-17  15:24:43,	1,660515E+0
2013-04-17  15:24:43,	2,081797E-1	2013-04-17  15:24:43,	1,617571E+0
2013-04-17  15:24:43,	-3,471425E-1	2013-04-17  15:24:43,	1,574628E+0
2013-04-17  15:24:43,	-7,743135E-1	2013-04-17  15:24:43,	1,531684E+0
2013-04-17  15:24:43,	-1,158767E+0	2013-04-17  15:24:43,	1,445796E+0
2013-04-17  15:24:43,	-1,457787E+0	2013-04-17  15:24:43,	1,402853E+0
2013-04-17  15:24:43,	-1,714090E+0	2013-04-17  15:24:43,	1,402853E+0
2013-04-17  15:24:43,	-1,884958E+0	2013-04-17  15:24:43,	1,316965E+0
2013-04-17  15:24:43,	-2,013109E+0	2013-04-17  15:24:43,	1,316965E+0
2013-04-17  15:24:43,	-2,098544E+0	2013-04-17  15:24:43,	1,231078E+0
2013-04-17  15:24:43,	-2,183978E+0	2013-04-17  15:24:43,	1,231078E+0
2013-04-17  15:24:43,	-2,269412E+0	2013-04-17  15:24:43,	1,188134E+0
2013-04-17  15:24:43,	-2,312129E+0	2013-04-17  15:24:43,	1,145191E+0
2013-04-17  15:24:43,	-2,312129E+0	2013-04-17  15:24:43,	1,102247E+0
2013-04-17  15:24:43,	-2,312129E+0	2013-04-17  15:24:43,	1,059303E+0
2013-04-17  15:24:43,	-2,354846E+0	2013-04-17  15:24:43,	1,059303E+0
2013-04-17  15:24:43,	-2,354846E+0	2013-04-17  15:24:43,	1,016360E+0
2013-04-17  15:24:43,	-2,397563E+0	2013-04-17  15:24:43,	1,016360E+0
2013-04-17  15:24:43,	-2,354846E+0	2013-04-17  15:24:43,	9,734158E-1
2013-04-17  15:24:43,	-2,397563E+0	2013-04-17  15:24:43,	9,304721E-1
2013-04-17  15:24:43,	-2,397563E+0	2013-04-17  15:24:43,	9,304721E-1
2013-04-17  15:24:43,	-2,397563E+0	2013-04-17  15:24:43,	8,875284E-1
2013-04-17  15:24:43,	-2,397563E+0	2013-04-17  15:24:43,	8,445847E-1
2013-04-17  15:24:43,	-2,440280E+0	2013-04-17  15:24:43,	8,445847E-1
2013-04-17  15:24:43,	-2,397563E+0	2013-04-17  15:24:43,	8,445847E-1
2013-04-17  15:24:43,	-2,397563E+0	2013-04-17  15:24:43,	7,586973E-1
2013-04-17  15:24:43,	-2,397563E+0	2013-04-17  15:24:43,	7,586973E-1
2013-04-17  15:24:43,	-2,397563E+0	2013-04-17  15:24:43,	7,586973E-1
2013-04-17  15:24:43,	-2,440280E+0	2013-04-17  15:24:43,	7,586973E-1
2013-04-17  15:24:43,	-2,440280E+0	2013-04-17  15:24:43,	7,157536E-1
2013-04-17  15:24:43,	-2,397563E+0	2013-04-17  15:24:43,	6,728099E-1
2013-04-17  15:24:43,	-2,397563E+0	2013-04-17  15:24:43,	6,728099E-1
2013-04-17  15:24:43,	-2,440280E+0	2013-04-17  15:24:43,	6,728099E-1
2013-04-17  15:24:43,	-2,397563E+0	2013-04-17  15:24:43,	6,298662E-1
2013-04-17  15:24:43,	-2,397563E+0	2013-04-17  15:24:43,	6,298662E-1
2013-04-17  15:24:43,	-2,397563E+0	2013-04-17  15:24:43,	5,869225E-1
2013-04-17  15:24:43,	-2,397563E+0	2013-04-17  15:24:43,	5,869225E-1
2013-04-17  15:24:43,	-2,440280E+0	2013-04-17  15:24:43,	5,869225E-1
2013-04-17  15:24:43,	-2,440280E+0	2013-04-17  15:24:43,	5,439788E-1
2013-04-17  15:24:43,	-2,440280E+0	2013-04-17  15:24:43,	5,439788E-1
2013-04-17  15:24:43,	-2,440280E+0	2013-04-17  15:24:43,	5,010351E-1
2013-04-17  15:24:43,	-2,440280E+0	2013-04-17  15:24:43,	5,010351E-1
2013-04-17  15:24:43,	-2,440280E+0	2013-04-17  15:24:43,	5,010351E-1
2013-04-17  15:24:43,	-2,397563E+0	2013-04-17  15:24:43,	5,010351E-1
2013-04-17  15:24:43,	-2,440280E+0	2013-04-17  15:24:43,	4,580914E-1
2013-04-17  15:24:43,	-2,440280E+0	2013-04-17  15:24:43,	4,580914E-1
2013-04-17  15:24:43,	-2,397563E+0	2013-04-17  15:24:43,	4,580914E-1
2013-04-17  15:24:43,	-2,397563E+0	2013-04-17  15:24:43,	4,151477E-1
2013-04-17  15:24:43,	-2,440280E+0	2013-04-17  15:24:43,	4,151477E-1
2013-04-17  15:24:43,	-2,397563E+0	2013-04-17  15:24:43,	4,151477E-1
2013-04-17  15:24:43,	-2,397563E+0	2013-04-17  15:24:43,	4,151477E-1
2013-04-17  15:24:43,	-2,440280E+0	2013-04-17  15:24:43,	3,722041E-1
2013-04-17  15:24:43,	-2,397563E+0	2013-04-17  15:24:43,	4,151477E-1
2013-04-17  15:24:43,	-2,397563E+0	2013-04-17  15:24:43,	3,722041E-1
2013-04-17  15:24:43,	-2,397563E+0	2013-04-17  15:24:43,	3,722041E-1
2013-04-17  15:24:43,	-2,397563E+0	2013-04-17  15:24:43,	3,722041E-1
2013-04-17  15:24:43,	-2,397563E+0	2013-04-17  15:24:43,	3,292604E-1
2013-04-17  15:24:43,	-2,397563E+0	2013-04-17  15:24:43,	3,292604E-1
2013-04-17  15:24:43,	-2,397563E+0	2013-04-17  15:24:43,	3,292604E-1
2013-04-17  15:24:43,	-2,397563E+0	2013-04-17  15:24:43,	3,292604E-1
2013-04-17  15:24:43,	-2,397563E+0	2013-04-17  15:24:43,	3,292604E-1
2013-04-17  15:24:43,	-2,397563E+0	2013-04-17  15:24:43,	3,292604E-1
2013-04-17  15:24:43,	-2,397563E+0	2013-04-17  15:24:43,	2,863167E-1
2013-04-17  15:24:43,	-2,397563E+0	2013-04-17  15:24:43,	2,863167E-1
2013-04-17  15:24:43,	-2,397563E+0	2013-04-17  15:24:43,	2,863167E-1
2013-04-17  15:24:43,	-2,397563E+0	2013-04-17  15:24:43,	2,863167E-1
2013-04-17  15:24:43,	-2,397563E+0	2013-04-17  15:24:43,	2,433730E-1
2013-04-17  15:24:43,	-2,440280E+0	2013-04-17  15:24:43,	2,863167E-1
2013-04-17  15:24:43,	-2,440280E+0	2013-04-17  15:24:43,	2,433730E-1
2013-04-17  15:24:43,	-2,397563E+0	2013-04-17  15:24:43,	2,433730E-1
2013-04-17  15:24:43,	-2,440280E+0	2013-04-17  15:24:43,	2,433730E-1
2013-04-17  15:24:43,	-2,440280E+0	2013-04-17  15:24:43,	2,433730E-1
2013-04-17  15:24:43,	-2,397563E+0	2013-04-17  15:24:43,	2,004293E-1
2013-04-17  15:24:43,	-2,440280E+0	2013-04-17  15:24:43,	2,004293E-1
2013-04-17  15:24:43,	-2,440280E+0	2013-04-17  15:24:43,	2,004293E-1
2013-04-17  15:24:43,	-2,397563E+0	2013-04-17  15:24:43,	2,004293E-1
2013-04-17  15:24:43,	-2,397563E+0	2013-04-17  15:24:43,	2,004293E-1
2013-04-17  15:24:43,	-2,397563E+0	2013-04-17  15:24:43,	2,004293E-1
2013-04-17  15:24:43,	-2,397563E+0	2013-04-17  15:24:43,	2,004293E-1
2013-04-17  15:24:43,	-2,397563E+0	2013-04-17  15:24:43,	2,004293E-1
2013-04-17  15:24:43,	-2,397563E+0	2013-04-17  15:24:43,	1,574856E-1
2013-04-17  15:24:43,	-2,440280E+0	2013-04-17  15:24:43,	1,574856E-1
2013-04-17  15:24:43,	-2,397563E+0	2013-04-17  15:24:43,	1,574856E-1
2013-04-17  15:24:43,	-2,397563E+0	2013-04-17  15:24:43,	1,574856E-1
2013-04-17  15:24:43,	-2,440280E+0	2013-04-17  15:24:43,	1,574856E-1
2013-04-17  15:24:43,	-2,397563E+0	2013-04-17  15:24:43,	1,574856E-1
2013-04-17  15:24:43,	-2,440280E+0	2013-04-17  15:24:43,	1,574856E-1
2013-04-17  15:24:43,	-2,440280E+0	2013-04-17  15:24:43,	1,574856E-1
2013-04-17  15:24:43,	-2,440280E+0	2013-04-17  15:24:43,	1,145419E-1
