waveform	[0]		[1]	
t0	2013-04-17  15:26:15,		2013-04-17  15:26:15,	
delta t	1,000000E-8		1,000000E-8	

time[0]	Y[0]	time[1]	Y[1]
2013-04-17  15:26:15,	1,062522E+0	2013-04-17  15:26:15,	5,010351E-1
2013-04-17  15:26:15,	1,062522E+0	2013-04-17  15:26:15,	5,010351E-1
2013-04-17  15:26:15,	1,062522E+0	2013-04-17  15:26:15,	5,010351E-1
2013-04-17  15:26:15,	1,062522E+0	2013-04-17  15:26:15,	5,010351E-1
2013-04-17  15:26:15,	1,062522E+0	2013-04-17  15:26:15,	5,010351E-1
2013-04-17  15:26:15,	1,062522E+0	2013-04-17  15:26:15,	5,010351E-1
2013-04-17  15:26:15,	1,062522E+0	2013-04-17  15:26:15,	5,010351E-1
2013-04-17  15:26:15,	1,062522E+0	2013-04-17  15:26:15,	5,010351E-1
2013-04-17  15:26:15,	1,062522E+0	2013-04-17  15:26:15,	5,010351E-1
2013-04-17  15:26:15,	1,062522E+0	2013-04-17  15:26:15,	5,010351E-1
2013-04-17  15:26:15,	1,062522E+0	2013-04-17  15:26:15,	5,010351E-1
2013-04-17  15:26:15,	1,019805E+0	2013-04-17  15:26:15,	5,010351E-1
2013-04-17  15:26:15,	1,019805E+0	2013-04-17  15:26:15,	5,010351E-1
2013-04-17  15:26:15,	1,019805E+0	2013-04-17  15:26:15,	5,010351E-1
2013-04-17  15:26:15,	9,770875E-1	2013-04-17  15:26:15,	5,010351E-1
2013-04-17  15:26:15,	8,916533E-1	2013-04-17  15:26:15,	4,580914E-1
2013-04-17  15:26:15,	6,353507E-1	2013-04-17  15:26:15,	4,580914E-1
2013-04-17  15:26:15,	2,081797E-1	2013-04-17  15:26:15,	4,151477E-1
2013-04-17  15:26:15,	-3,898596E-1	2013-04-17  15:26:15,	3,722041E-1
2013-04-17  15:26:15,	-1,030616E+0	2013-04-17  15:26:15,	3,722041E-1
2013-04-17  15:26:15,	-1,628656E+0	2013-04-17  15:26:15,	3,292604E-1
2013-04-17  15:26:15,	-2,141261E+0	2013-04-17  15:26:15,	3,722041E-1
2013-04-17  15:26:15,	-2,525715E+0	2013-04-17  15:26:15,	3,292604E-1
2013-04-17  15:26:15,	-2,867451E+0	2013-04-17  15:26:15,	3,292604E-1
2013-04-17  15:26:15,	-3,081037E+0	2013-04-17  15:26:15,	3,292604E-1
2013-04-17  15:26:15,	-3,294622E+0	2013-04-17  15:26:15,	3,292604E-1
2013-04-17  15:26:15,	-3,422774E+0	2013-04-17  15:26:15,	2,863167E-1
2013-04-17  15:26:15,	-3,550925E+0	2013-04-17  15:26:15,	2,433730E-1
2013-04-17  15:26:15,	-3,636359E+0	2013-04-17  15:26:15,	2,863167E-1
2013-04-17  15:26:15,	-3,679076E+0	2013-04-17  15:26:15,	2,433730E-1
2013-04-17  15:26:15,	-3,721793E+0	2013-04-17  15:26:15,	2,863167E-1
2013-04-17  15:26:15,	-3,807228E+0	2013-04-17  15:26:15,	2,433730E-1
2013-04-17  15:26:15,	-3,807228E+0	2013-04-17  15:26:15,	2,433730E-1
2013-04-17  15:26:15,	-3,807228E+0	2013-04-17  15:26:15,	2,004293E-1
2013-04-17  15:26:15,	-3,849945E+0	2013-04-17  15:26:15,	2,433730E-1
2013-04-17  15:26:15,	-3,849945E+0	2013-04-17  15:26:15,	2,004293E-1
2013-04-17  15:26:15,	-3,849945E+0	2013-04-17  15:26:15,	2,433730E-1
2013-04-17  15:26:15,	-3,849945E+0	2013-04-17  15:26:15,	2,004293E-1
2013-04-17  15:26:15,	-3,849945E+0	2013-04-17  15:26:15,	2,004293E-1
2013-04-17  15:26:15,	-3,892662E+0	2013-04-17  15:26:15,	2,004293E-1
2013-04-17  15:26:15,	-3,892662E+0	2013-04-17  15:26:15,	2,004293E-1
2013-04-17  15:26:15,	-3,892662E+0	2013-04-17  15:26:15,	2,004293E-1
2013-04-17  15:26:15,	-3,892662E+0	2013-04-17  15:26:15,	2,004293E-1
2013-04-17  15:26:15,	-3,892662E+0	2013-04-17  15:26:15,	2,004293E-1
2013-04-17  15:26:15,	-3,892662E+0	2013-04-17  15:26:15,	1,574856E-1
2013-04-17  15:26:15,	-3,892662E+0	2013-04-17  15:26:15,	1,574856E-1
2013-04-17  15:26:15,	-3,892662E+0	2013-04-17  15:26:15,	1,574856E-1
2013-04-17  15:26:15,	-3,892662E+0	2013-04-17  15:26:15,	1,574856E-1
2013-04-17  15:26:15,	-3,892662E+0	2013-04-17  15:26:15,	1,574856E-1
2013-04-17  15:26:15,	-3,892662E+0	2013-04-17  15:26:15,	1,574856E-1
2013-04-17  15:26:15,	-3,892662E+0	2013-04-17  15:26:15,	1,574856E-1
2013-04-17  15:26:15,	-3,892662E+0	2013-04-17  15:26:15,	1,574856E-1
2013-04-17  15:26:15,	-3,892662E+0	2013-04-17  15:26:15,	1,574856E-1
2013-04-17  15:26:15,	-3,892662E+0	2013-04-17  15:26:15,	1,574856E-1
2013-04-17  15:26:15,	-3,892662E+0	2013-04-17  15:26:15,	1,574856E-1
2013-04-17  15:26:15,	-3,892662E+0	2013-04-17  15:26:15,	1,145419E-1
2013-04-17  15:26:15,	-3,892662E+0	2013-04-17  15:26:15,	1,145419E-1
2013-04-17  15:26:15,	-3,892662E+0	2013-04-17  15:26:15,	1,145419E-1
2013-04-17  15:26:15,	-3,892662E+0	2013-04-17  15:26:15,	1,145419E-1
2013-04-17  15:26:15,	-3,892662E+0	2013-04-17  15:26:15,	1,145419E-1
2013-04-17  15:26:15,	-3,892662E+0	2013-04-17  15:26:15,	1,145419E-1
2013-04-17  15:26:15,	-3,935379E+0	2013-04-17  15:26:15,	1,145419E-1
2013-04-17  15:26:15,	-3,892662E+0	2013-04-17  15:26:15,	1,145419E-1
2013-04-17  15:26:15,	-3,892662E+0	2013-04-17  15:26:15,	1,145419E-1
2013-04-17  15:26:15,	-3,892662E+0	2013-04-17  15:26:15,	1,145419E-1
2013-04-17  15:26:15,	-3,892662E+0	2013-04-17  15:26:15,	1,145419E-1
2013-04-17  15:26:15,	-3,892662E+0	2013-04-17  15:26:15,	1,145419E-1
2013-04-17  15:26:15,	-3,892662E+0	2013-04-17  15:26:15,	1,145419E-1
2013-04-17  15:26:15,	-3,892662E+0	2013-04-17  15:26:15,	7,159817E-2
2013-04-17  15:26:15,	-3,849945E+0	2013-04-17  15:26:15,	7,159817E-2
2013-04-17  15:26:15,	-3,892662E+0	2013-04-17  15:26:15,	7,159817E-2
2013-04-17  15:26:15,	-3,892662E+0	2013-04-17  15:26:15,	7,159817E-2
2013-04-17  15:26:15,	-3,892662E+0	2013-04-17  15:26:15,	7,159817E-2
2013-04-17  15:26:15,	-3,892662E+0	2013-04-17  15:26:15,	7,159817E-2
2013-04-17  15:26:15,	-3,892662E+0	2013-04-17  15:26:15,	7,159817E-2
2013-04-17  15:26:15,	-3,849945E+0	2013-04-17  15:26:15,	1,145419E-1
2013-04-17  15:26:15,	-3,849945E+0	2013-04-17  15:26:15,	7,159817E-2
2013-04-17  15:26:15,	-3,892662E+0	2013-04-17  15:26:15,	7,159817E-2
2013-04-17  15:26:15,	-3,892662E+0	2013-04-17  15:26:15,	7,159817E-2
2013-04-17  15:26:15,	-3,892662E+0	2013-04-17  15:26:15,	7,159817E-2
2013-04-17  15:26:15,	-3,892662E+0	2013-04-17  15:26:15,	7,159817E-2
2013-04-17  15:26:15,	-3,892662E+0	2013-04-17  15:26:15,	7,159817E-2
2013-04-17  15:26:15,	-3,892662E+0	2013-04-17  15:26:15,	7,159817E-2
2013-04-17  15:26:15,	-3,892662E+0	2013-04-17  15:26:15,	2,865447E-2
2013-04-17  15:26:15,	-3,892662E+0	2013-04-17  15:26:15,	7,159817E-2
2013-04-17  15:26:15,	-3,849945E+0	2013-04-17  15:26:15,	7,159817E-2
2013-04-17  15:26:15,	-3,892662E+0	2013-04-17  15:26:15,	7,159817E-2
2013-04-17  15:26:15,	-3,892662E+0	2013-04-17  15:26:15,	7,159817E-2
2013-04-17  15:26:15,	-3,892662E+0	2013-04-17  15:26:15,	7,159817E-2
2013-04-17  15:26:15,	-3,892662E+0	2013-04-17  15:26:15,	7,159817E-2
2013-04-17  15:26:15,	-3,892662E+0	2013-04-17  15:26:15,	7,159817E-2
2013-04-17  15:26:15,	-3,849945E+0	2013-04-17  15:26:15,	7,159817E-2
2013-04-17  15:26:15,	-3,892662E+0	2013-04-17  15:26:15,	7,159817E-2
2013-04-17  15:26:15,	-3,892662E+0	2013-04-17  15:26:15,	2,865447E-2
2013-04-17  15:26:15,	-3,892662E+0	2013-04-17  15:26:15,	2,865447E-2
2013-04-17  15:26:15,	-3,892662E+0	2013-04-17  15:26:15,	2,865447E-2
2013-04-17  15:26:15,	-3,892662E+0	2013-04-17  15:26:15,	2,865447E-2
2013-04-17  15:26:15,	-3,892662E+0	2013-04-17  15:26:15,	7,159817E-2
2013-04-17  15:26:15,	-3,849945E+0	2013-04-17  15:26:15,	2,865447E-2
2013-04-17  15:26:15,	-3,892662E+0	2013-04-17  15:26:15,	2,865447E-2
2013-04-17  15:26:15,	-3,892662E+0	2013-04-17  15:26:15,	2,865447E-2
2013-04-17  15:26:15,	-3,892662E+0	2013-04-17  15:26:15,	2,865447E-2
2013-04-17  15:26:15,	-3,892662E+0	2013-04-17  15:26:15,	7,159817E-2
2013-04-17  15:26:15,	-3,892662E+0	2013-04-17  15:26:15,	2,865447E-2
2013-04-17  15:26:15,	-3,892662E+0	2013-04-17  15:26:15,	2,865447E-2
2013-04-17  15:26:15,	-3,892662E+0	2013-04-17  15:26:15,	7,159817E-2
2013-04-17  15:26:15,	-3,892662E+0	2013-04-17  15:26:15,	2,865447E-2
2013-04-17  15:26:15,	-3,892662E+0	2013-04-17  15:26:15,	2,865447E-2
